trip_id,arrival_time,departure_time,stop_id,stop_sequence
metro_trip_00001,05:00:00,05:00:25,metro_stop_001,1
metro_trip_00001,05:01:29,05:01:54,metro_stop_002,2
metro_trip_00001,05:04:07,05:04:32,metro_stop_003,3
metro_trip_00001,05:06:45,05:07:10,metro_stop_004,4
metro_trip_00001,05:09:23,05:09:48,metro_stop_005,5
metro_trip_00001,05:12:01,05:12:26,metro_stop_006,6
metro_trip_00001,05:14:39,05:15:04,metro_stop_007,7
metro_trip_00001,05:17:17,05:17:42,metro_stop_008,8
metro_trip_00001,05:18:59,05:19:24,metro_stop_009,9
metro_trip_00001,05:20:41,05:21:06,metro_stop_010,10
metro_trip_00001,05:22:23,05:22:48,metro_stop_011,11
metro_trip_00001,05:25:05,05:25:30,metro_stop_012,12
metro_trip_00001,05:26:52,05:27:17,metro_stop_013,13
metro_trip_00001,05:28:39,05:29:04,metro_stop_014,14
metro_trip_00001,05:30:28,05:30:53,metro_stop_015,15
metro_trip_00001,05:32:17,05:32:42,metro_stop_016,16
metro_trip_00001,05:34:06,05:34:31,metro_stop_017,17
metro_trip_00001,05:35:55,05:36:20,metro_stop_018,18
metro_trip_00001,05:37:44,05:38:09,metro_stop_019,19
metro_trip_00001,05:40:15,05:40:40,metro_stop_020,20
metro_trip_00001,05:42:46,05:43:11,metro_stop_021,21
metro_trip_00001,05:45:17,05:45:42,metro_stop_022,22
metro_trip_00001,05:47:21,05:47:46,metro_stop_023,23
metro_trip_00001,05:49:25,05:49:50,metro_stop_024,24
metro_trip_00001,05:52:25,05:52:50,metro_stop_025,25
metro_trip_00001,05:55:25,05:55:50,metro_stop_026,26
metro_trip_00001,05:57:41,05:58:06,metro_stop_027,27
metro_trip_00001,05:59:57,06:00:22,metro_stop_028,28
metro_trip_00001,06:02:13,06:02:38,metro_stop_029,29
metro_trip_00001,06:04:29,06:04:54,metro_stop_030,30
metro_trip_00001,06:06:45,06:07:10,metro_stop_031,31
metro_trip_00001,06:08:30,06:08:55,metro_stop_032,32
metro_trip_00001,06:10:15,06:10:40,metro_stop_033,33
metro_trip_00001,06:12:00,06:12:25,metro_stop_034,34
metro_trip_00001,06:13:45,06:14:10,metro_stop_035,35
metro_trip_00001,06:15:30,06:15:55,metro_stop_036,36
metro_trip_00001,06:17:15,06:17:15,metro_stop_037,37
metro_trip_00002,05:20:00,05:20:25,metro_stop_001,1
metro_trip_00002,05:21:29,05:21:54,metro_stop_002,2
metro_trip_00002,05:24:07,05:24:32,metro_stop_003,3
metro_trip_00002,05:26:45,05:27:10,metro_stop_004,4
metro_trip_00002,05:29:23,05:29:48,metro_stop_005,5
metro_trip_00002,05:32:01,05:32:26,metro_stop_006,6
metro_trip_00002,05:34:39,05:35:04,metro_stop_007,7
metro_trip_00002,05:37:17,05:37:42,metro_stop_008,8
metro_trip_00002,05:38:59,05:39:24,metro_stop_009,9
metro_trip_00002,05:40:41,05:41:06,metro_stop_010,10
metro_trip_00002,05:42:23,05:42:48,metro_stop_011,11
metro_trip_00002,05:45:05,05:45:30,metro_stop_012,12
metro_trip_00002,05:46:52,05:47:17,metro_stop_013,13
metro_trip_00002,05:48:39,05:49:04,metro_stop_014,14
metro_trip_00002,05:50:28,05:50:53,metro_stop_015,15
metro_trip_00002,05:52:17,05:52:42,metro_stop_016,16
metro_trip_00002,05:54:06,05:54:31,metro_stop_017,17
metro_trip_00002,05:55:55,05:56:20,metro_stop_018,18
metro_trip_00002,05:57:44,05:58:09,metro_stop_019,19
metro_trip_00002,06:00:15,06:00:40,metro_stop_020,20
metro_trip_00002,06:02:46,06:03:11,metro_stop_021,21
metro_trip_00002,06:05:17,06:05:42,metro_stop_022,22
metro_trip_00002,06:07:21,06:07:46,metro_stop_023,23
metro_trip_00002,06:09:25,06:09:50,metro_stop_024,24
metro_trip_00002,06:12:25,06:12:50,metro_stop_025,25
metro_trip_00002,06:15:25,06:15:50,metro_stop_026,26
metro_trip_00002,06:17:41,06:18:06,metro_stop_027,27
metro_trip_00002,06:19:57,06:20:22,metro_stop_028,28
metro_trip_00002,06:22:13,06:22:38,metro_stop_029,29
metro_trip_00002,06:24:29,06:24:54,metro_stop_030,30
metro_trip_00002,06:26:45,06:27:10,metro_stop_031,31
metro_trip_00002,06:28:30,06:28:55,metro_stop_032,32
metro_trip_00002,06:30:15,06:30:40,metro_stop_033,33
metro_trip_00002,06:32:00,06:32:25,metro_stop_034,34
metro_trip_00002,06:33:45,06:34:10,metro_stop_035,35
metro_trip_00002,06:35:30,06:35:55,metro_stop_036,36
metro_trip_00002,06:37:15,06:37:15,metro_stop_037,37
metro_trip_00003,05:40:00,05:40:25,metro_stop_001,1
metro_trip_00003,05:41:29,05:41:54,metro_stop_002,2
metro_trip_00003,05:44:07,05:44:32,metro_stop_003,3
metro_trip_00003,05:46:45,05:47:10,metro_stop_004,4
metro_trip_00003,05:49:23,05:49:48,metro_stop_005,5
metro_trip_00003,05:52:01,05:52:26,metro_stop_006,6
metro_trip_00003,05:54:39,05:55:04,metro_stop_007,7
metro_trip_00003,05:57:17,05:57:42,metro_stop_008,8
metro_trip_00003,05:58:59,05:59:24,metro_stop_009,9
metro_trip_00003,06:00:41,06:01:06,metro_stop_010,10
metro_trip_00003,06:02:23,06:02:48,metro_stop_011,11
metro_trip_00003,06:05:05,06:05:30,metro_stop_012,12
metro_trip_00003,06:06:52,06:07:17,metro_stop_013,13
metro_trip_00003,06:08:39,06:09:04,metro_stop_014,14
metro_trip_00003,06:10:28,06:10:53,metro_stop_015,15
metro_trip_00003,06:12:17,06:12:42,metro_stop_016,16
metro_trip_00003,06:14:06,06:14:31,metro_stop_017,17
metro_trip_00003,06:15:55,06:16:20,metro_stop_018,18
metro_trip_00003,06:17:44,06:18:09,metro_stop_019,19
